https://www.rzn.info/news/2019/6/24/byvshego-policeyskogo-izbivshego-parnya-v-ryazanskom-klube-ostavili-v-sizo.html   
https://ex-press.by/rubrics/obshhestvo/2019/08/31/nashlis-smyagchayushhie-obstoyatelstva-vynesen-prigovor-po-delu-ob-ubijstve-materi-v-novopoloczke Нашлись смягчающие обстоятельства. Вынесен приговор по делу об убийстве матери в Новополоцке  | EX-PRESS.BY Мужчина проведет 15 лет в колонии, сообщает Верховный суд. 
https://murkoshka.ru/zdorovye/bolezni/mikrosporiya-u-koshek.html Микроспория у кошек: причины, лечение дома, ветеринарные препараты Микроспория у домашних кошек может возникать из-за контакта с больными животными или в результате занесения грибковых спор в организм из почвы, травы, воздуха. 
http://moi-goda.ru/chto-sluchilos/neymetsya-razvratnikam Неймется развратникам!.. Неймется развратникам детей! То в Москве они, то в Ленобласти… 
http://e1.ru/news/spool/news_id-66241150.html В Турции детей из Екатеринбурга облили горячим маслом. 19 сентября 2019 года | e1.ru - новости Екатеринбурга Это случилось на финальном ужине в отеле 
http://www.permnews.ru/novosti/incidents/2019/06/21/prikamec_izbil_beremennuyu_devushku_i_sbrosil_ee_v_ovoschnuyu_yamu/ Прикамец избил беременную девушку и сбросил ее в овощную яму | Новости Перми 19 июня в Кунгурскую городскую больницу поступила беременная женщина, у нее были тяжелые ранения грудной клетки. По факту покушения на убийство возбуждено уголовное дело, задержан 33-летний бывший сожитель пациентки. 
http://cyber.sports.ru/dota2/1076730549.html «Хотелось бы увидеть, как Twitch перестает класть ### на СНГ и начинает адекватно работать с регионом», сообщает Dread - Dota 2 - Cyber.Sports.ru Стример Андрей «Dread» Голубев объяснил, за что его забанили на Twitch. 
http://voenhronika.ru/publ/vtoraja_mirovaja_vojna_sssr_khronika/shokirujushhee_chlenovreditelstvo_v_krasnoj_armii_rasplavlennyj_svinec_v_ushi_i_drugie_bolee_boleznennye_sposoby_udrat_s_fronta_2019/22-1-0-6355 Шокирующее членовредительство в Красной армии: расплавленный свинец в уши и другие странные способы удрать с фронта (2019) смотреть онлайн в хорошем качестве Смотреть Шокирующее членовредительство в Красной армии: расплавленный свинец в уши и другие странные способы удрать с фронта (2019) бесплатно в отличном качестве. Это видео поменяет ваше представление о войне и покажет её с разных сторон. Фильм относится к разделу Великая отечественная война. 
http://news.ngs.ru/more/66210268 В центре Новосибирска автомобиль сбил девушку на пешеходном переходе 25 августа 2019 года | НГС - новости Новосибирска Пострадавшую увезли в больницу 
https://www.32cars.ru/incidents/date-24-06-2019/20-letniy-paren-pogib-v-strashnoy-avarii-v-mglinskom-rayone 20-летний парень погиб в страшной аварии в Мглинском районе | 32CARS.RU Авария произошла рано утром 23 июня. 
http://29.ru/text/incidents/66144007 30 июня в ДТП на M-8 машина столкнулась с грузовиком, погибли три человека, среди них один ребенок | 29.ru - новости Архангельска Легковушка выехала на встречную полосу и столкнулась с грузовиком 
https://76.ru/text/criminal/66172222 В Рыбинске подростки жестко избили мальчика 24 июля 2019 г | 76.ru - новости Ярославля Отец избитого обратился в полицию 
